优先级,不符合规则,问题分类,所属项目,所属执行,相关研发需求,任务名称,任务描述,任务类型,截止日期,任务状态,最初预计,总计消耗,预计剩余,进度,由谁创建,创建日期,由谁完成,实际完成,问题详情
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39296 10月版本测试执行,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39291 11月版本产品需求设计,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39290 10月版本产品需求设计,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39289 UCD版本UI走查-长期,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39288 UCD维护迭代组件库-长期,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39287 11月版本UCD设计需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39286 10月版本UCD设计需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,产品实施运维需求池（长期）,39285 【实施】项目推广培训,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61660 1160 - 海南国补银联开票对接,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,62471 1172 - 工程订单和普通订单分开开票,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,62395 1171-FMS后台管理功能-手动开户优化,,,,,,,,,,,,,,缺少岗位任务：product/ui/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,62279 山东销司调研需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,62278 上海销司调研需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,62277 天津销司调研需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,62276 北京销司调研需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,62188 1177-短信模板取消,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61078 1048-商家回款报表查询及报表导出,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61337 1155-商用项目合同模式订单退款单建设及单据冲销处理,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61246 615 - 【网批】可配置的自动开票 - 在ERP订单开票记录页添加关联,,,,,,,,,,,,,,缺少岗位任务：product/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61245 615 - 【网批】可配置的自动开票 - 在发票管理页添加记录字段,,,,,,,,,,,,,,缺少岗位任务：product/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61244 615 - 【网批】可配置的自动开票 - 新建/修改,,,,,,,,,,,,,,缺少岗位任务：product/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61236 1136-高包资源报表增加地区层级,,,,,,,,,,,,,,缺少岗位任务：product/ui/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61231 1136-高包资源菜单栏整合,,,,,,,,,,,,,,缺少岗位任务：product/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60683 2026年4月发版技术支持,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60681 2026年4月FMS和钱包架构升级,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60677 2026年4月发票功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60676 2026年4月认款功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60675 2026年4月清结算功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60673 2026年4月账户功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60671 2026年4月支付功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60668 2026年4月未确定板块的需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,60667 2026年4月运维专项需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61087 1153 - 取消FMS对隐藏开票限制,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0430,61048 1130-2026年第二季度售后钱包日常维护需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63534 2026年5月发版技术支持,,,,,,,,,,,,,,缺少岗位任务：product
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,64046 1197-同步网批高包资源信息的是否为网批4.0返利字段信息,,,,,,,,,,,,,,缺少岗位任务：product/ui/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63333 1182-认款入账自动报警增加中间态数据进行校验预警,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,64010 1193-银联好易联资管户提现异常补偿机制处理,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63250 2026年5月运维专项需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63249 2026年5月未确定板块的需求,,,,,,,,,,,,,,缺少岗位任务：product/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63248 2026年5月项目管理协同合作支持,,,,,,,,,,,,,,缺少岗位任务：product/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63247 2026年5月支付功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63246 2026年5月账户功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63245 2026年5月清结算功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63244 2026年5月认款功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63241 2026年5月发票功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,63240 2026年5月FMS和钱包架构升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,62818 1156-5月AI应用销售财务项目需求,,,,,,,,,,,,,,缺少岗位任务：product/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0530,61880 1147-格力钱包首页改版页面功能和展示,,,,,,,,,,,,,,缺少岗位任务：product/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0420,61858 1085-分销财务数据报表优化,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0525,64217 1207-银联银行信息数据全量更新,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0525,64024 1187-售后收付通支付页面增加文案提示内容,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0525,63989 1188/1179-售后收付通用户认证通过后修改银行信息时可以上传银行卡照片,,,,,,,,,,,,,,缺少岗位任务：product/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0525,62728 1148-Doris数据迁移与服务器资源释放,,,,,,,,,,,,,,缺少岗位任务：product/ui
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0515,62877 1175 - 汇票认款界面增加“认款状态”筛选框,,,,,,,,,,,,,,缺少岗位任务：product/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0515,63202 1180-售后支付新增商品品类支持售后更多品类的支付,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0515,63110 1181-非资管户重置支付密码短信发送调整,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0515,62820 1150-【汇票】新建客户时历史汇票数据处理,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0515,62764 1174-FMS对公转账人工认款审核优化,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65106 2026年6月FMS和钱包架构升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65105 2026年6月发票功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65104 2026年6月认款功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65103 2026年6月清结算功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65102 2026年6月账户功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65101 2026年6月支付功能板块优化升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65100 2026年6月项目管理协同合作支持,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65099 2026年6月发版技术支持,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,65026 1142-FMS从网批系统获取ERP伙伴编码,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64985 2026年6月未确定板块的需求,,,,,,,,,,,,,,缺少岗位任务：product/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64914 1215-实现代码提交时的自动检查能力,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64876 1213 - 大贲数电发票回调到FMS的提效处理,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64857 1211-民生银行实现网批票据直联,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64856 1189-售后好收银历史未分账数据处理,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64855 1146-售后批量付款性能提升,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64805 2026年6月运维专项需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64678 1208-分账进件证照自动回显、支行模糊搜索及历史银行卡复用,,,,,,,,,,,,,,缺少岗位任务：test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64032 1169-支持应收板块的系统资产方案升级,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64030 1194-FMS系统商用业务板块增加资金项为必选项功能,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64029 1155-商用订单和合同信息和商用系统对接,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0630,64028 1156-6月AI应用销售财务项目需求,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0615,64916 1214-售后分账查账单调整为从钱包侧查询账单数据,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev/test
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0615,64875 1212 - 京东订单开红票增加字段长度,,,,,,,,,,,,,,缺少岗位任务：product/ui/dev
P0,规则2,需求问题,销售财务中台管理系统,【2026】FMS-0615,63969 1192-AI 插件与大模型之间增加一层代理,,,,,,,,,,,,,,缺少岗位任务：ui/dev/test
